ID;Name;Coordinates
3036687;Arthès;43.95592, 2.20796
2968510;Villeneuve-Tolosane;43.52316, 1.34102
2968558;Villeneuve-la-Comptal;43.28692, 1.9212
2968761;Villefranche-d'Albigeois;43.89635, 2.33022
2969930;Vergèze;43.74363, 4.22018
2971043;Valence-sur-Baïse;43.88222, 0.38108
2976443;Salies-du-Salat;43.10224, 0.958
2976481;Saleilles;42.65436, 2.95168
2978925;Saint-Laurent-de-la-Salanque;42.77399, 2.99041
2980108;Saint-Florent-sur-Auzonnet;44.24166, 4.11151
2985096;Puisserguier;43.36798, 3.04069
2985653;Prades;42.61755, 2.42177
2987275;Pierrefitte-Nestalas;42.96106, -0.07385
2990363;Nîmes;43.83665, 4.35788
2990919;Narbonne;43.18396, 3.00141
2992350;Montjoie-en-Couserans;43.0025, 1.16
2993078;Montaigut-sur-Save;43.68947, 1.23133
2994057;Meyrueis;44.17865, 3.42916
2995230;Masseube;43.42965, 0.57888
2995922;Marcorignan;43.22594, 2.92209
2997113;Lunel-Viel;43.6789, 4.0925
2998066;Livinhac-le-Haut;44.59212, 2.23117
3003308;Le Monastère;44.34165, 2.57956
3005102;Le Boulou;42.52424, 2.83336
3020747;Druelle;44.36006, 2.50505
3020825;Drémil-Lafage;43.59624, 1.60117
3027582;Chalabre;42.98401, 2.00611
3029503;Burlats;43.63641, 2.31818
3034442;Baziège;43.45494, 1.61386
3035859;Auvillar;44.06946, 0.89965
3036430;Aubais;43.75524, 4.14733
2968542;Villeneuve-lès-Bouloc;43.76904, 1.42561
2968691;Villelongue-de-la-Salanque;42.72657, 2.98219
2970086;Venerque;43.43405, 1.44329
2972317;Toulouges;42.67077, 2.83235
2974146;Soual;43.55622, 2.11677
2975888;Saubens;43.47779, 1.35446
2981824;Saint-Amans-Valtoret;43.48171, 2.49074
2985641;Prades-le-Lez;43.6993, 3.86504
2986233;Pont-de-Salars;44.28134, 2.72743
2987437;Pézilla-la-Rivière;42.69488, 2.77018
2987497;Peyriac-de-Mer;43.08715, 2.95725
2988965;Oursbelille;43.28688, 0.03698
2991119;Murviel-lès-Béziers;43.43333, 3.13333
2992124;Montrabé;43.64477, 1.52384
2992571;Montgaillard;42.93539, 1.63351
2995471;Marseillan;43.35674, 3.52804
2998124;Lisle-sur-Tarn;43.85347, 1.80983
2998666;Lézan;44.01272, 4.05053
3000139;Le Soler;42.68185, 2.79305
3004346;Lédignan;43.98857, 4.10683
3006524;La Salvetat-Peyralès;44.21984, 2.20259
3008636;Laissac;44.38097, 2.82271
3014606;Grisolles;43.8292, 1.29673
3015690;Gondrin;43.88499, 0.23652
3016595;Garons;43.7682, 4.42849
3017879;Fontenilles;43.5535, 1.19142
3020593;Eaunes;43.42548, 1.35349
3028044;Cazilhac;43.92379, 3.70145
3028322;Castelsarrasin;44.04042, 1.10666
3028345;Castelnau-de-Lévis;43.93975, 2.08491
3029168;Cajarc;44.48546, 1.84261
3030520;Brassac;43.63, 2.4984
3031135;Boulogne-sur-Gesse;43.28825, 0.64797
3031178;Boulbon;43.86232, 4.69391
3035801;Auzielle;43.54203, 1.56589
3037331;Aramon;43.89113, 4.68058
3038493;Aigues-Mortes;43.56683, 4.19068
2970978;Vallabrègues;43.85307, 4.62662
2974925;Sérignan;43.27924, 3.27664
2982443;Rousson;44.19708, 4.14475
2982543;Roujan;43.50471, 3.31063
2983606;Rieumes;43.41231, 1.11763
2989359;Orgueil;43.90618, 1.41071
2989629;Olemps;44.34638, 2.5514
2991386;Moussan;43.23163, 2.94946
2992917;Montblanc;43.3959, 3.36718
2993160;Montagnac;43.48094, 3.48224
2995121;Mauguio;43.61692, 4.00739
3005792;Laval-Pradel;44.20665, 4.06591
3006215;Latour-Bas-Elne;42.60742, 3.00153
3007327;Lapeyrouse-Fossat;43.69973, 1.51049
3009163;Lagarrigue;43.57697, 2.27576
3017824;Font-Romeu-Odeillo-Via;42.50552, 2.04011
3019584;Estagel;42.77276, 2.69819
3024817;Claira;42.76023, 2.95606
3028072;Cazaubon;43.93475, -0.07209
3029071;Camarès;43.82208, 2.88005
3036314;Aubord;43.75698, 4.31301
2968626;Villemur-sur-Tarn;43.86708, 1.50281
2970144;Vendargues;43.65833, 3.97
2971202;Vacquiers;43.77667, 1.48127
2976366;Salles-la-Source;44.43589, 2.51463
2978706;Saint-Loup-Cammas;43.69767, 1.48127
2978760;Saint-Lizier;43.00185, 1.13739
2979245;Saint-Jean-du-Falga;43.08647, 1.6278
2982836;Roquettes;43.49733, 1.36848
2983443;Riscle;43.65695, -0.08764
2985564;Prats de Molló;42.40404, 2.47928
2998018;Llupia;42.62134, 2.76897
2998130;L'Isle-Jourdain;43.6122, 1.0866
2998803;Lévignac;43.66626, 1.19398
3008914;Lagrave;43.89772, 1.9926
3010580;Lacasse;43.39873, 1.26951
3012004;Juvignac;43.61389, 3.81056
3014848;Gratentour;43.7236, 1.43234
3016837;Gagnac-sur-Garonne;43.6999, 1.37535
3018142;Fonbeauzard;43.6783, 1.4344
3028162;Caussade;44.16125, 1.53691
3030338;Brens;43.88725, 1.90716
3033073;Bessèges;44.29174, 4.1004
3033799;Bélesta;42.90396, 1.93412
